City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
637,Acajutla,SV,13.5928,-89.8275,78.15,85,98,4.36,overcast clouds
638,Darien,US,41.752,-87.974,52.45,92,0,4.61,clear sky
639,Half Moon Bay,US,37.4636,-122.4286,63.45,85,75,16.11,broken clouds
640,Mama,RU,58.3106,112.8986,33.24,75,100,3.09,overcast clouds
641,Menongue,AO,-14.6585,17.691,59.13,32,23,3.4,few clouds
642,Myitkyina,MM,25.3833,97.4,86.47,63,96,2.57,overcast clouds
643,Kamaishi,JP,39.2667,141.8833,70.52,82,100,13.87,overcast clouds
644,Matagami,CA,49.7502,-77.6328,51.51,88,98,5.57,overcast clouds
645,Tayga,RU,56.06,85.6197,38.1,53,92,3.04,overcast clouds
646,Smirnykh,RU,49.75,142.8333,42.58,83,100,8.1,overcast clouds
647,Sainte-Thecle,CA,46.8168,-72.4991,30.72,72,59,0.63,broken clouds
648,Gallup,US,35.5281,-108.7426,57.04,83,100,4.61,overcast clouds
649,Dzilam Gonzalez,MX,21.2833,-88.9333,73.78,82,18,3.47,few clouds
650,Rapid Valley,US,44.0625,-103.1463,56.44,85,40,12.66,scattered clouds
651,Molepolole,BW,-24.4066,25.4951,64.54,21,0,7.63,clear sky
652,Sabha,LY,27.0377,14.4283,68.72,53,15,8.61,few clouds
653,La Tuque,CA,47.4334,-72.7824,35.85,93,94,2.3,overcast clouds
654,Barranca,PE,-10.75,-77.7667,60.24,86,40,8.03,scattered clouds
655,Capao Da Canoa,BR,-29.7456,-50.0097,53.44,77,0,6.51,clear sky
656,Isabela,PH,6.7085,121.9711,87.85,69,70,5.95,broken clouds
657,Grand Gaube,MU,-20.0064,57.6608,74.37,67,1,10.0,clear sky
658,Cardinal,CA,44.7834,-75.3826,42.62,100,0,0.0,clear sky
659,Chor,PK,25.5167,69.7667,84.88,53,1,6.93,clear sky
660,Luanda,AO,-8.8368,13.2343,71.6,88,40,3.44,scattered clouds
661,Kathmandu,NP,27.7167,85.3167,71.82,88,75,3.44,broken clouds
662,Bure,ET,10.7,37.0667,55.87,97,99,0.94,light rain
663,La Union,PE,-5.4,-80.75,63.07,80,63,11.32,broken clouds
664,Sao Domingos,BR,-13.3983,-46.3183,74.08,59,55,4.85,broken clouds
665,Hobyo,SO,5.3505,48.5268,77.61,82,41,15.77,scattered clouds
666,Beya,RU,53.0533,90.9139,38.64,44,54,3.02,broken clouds
667,Hirara,JP,24.8,125.2833,81.72,71,4,4.94,clear sky
668,Kobyzhcha,UA,50.8285,31.5044,43.5,91,100,11.65,light rain
669,Pasighat,IN,28.0667,95.3333,77.2,96,100,1.34,overcast clouds
670,Kharp,RU,66.8014,65.8081,36.14,96,67,7.65,broken clouds
671,Treinta Y Tres,UY,-33.2333,-54.3833,43.75,93,38,5.1,scattered clouds
672,Ertil,RU,51.8406,40.8056,49.19,78,89,10.4,overcast clouds
673,Santiago,CL,-33.4569,-70.6483,55.29,78,75,8.05,broken clouds
674,Magadan,RU,59.5667,150.8,36.54,61,100,14.38,overcast clouds
675,Klobuck,PL,50.9008,18.9367,49.05,88,64,15.57,broken clouds
676,Itoman,JP,26.1247,127.6694,87.4,72,40,6.91,scattered clouds
677,Sangar,RU,63.9242,127.4739,30.38,54,75,6.51,broken clouds
678,Auki,SB,-8.7676,160.7034,85.53,62,100,3.4,overcast clouds
679,Carberry,CA,49.8689,-99.3602,55.96,75,21,7.23,few clouds
680,Davila,PH,18.4726,120.5763,87.78,68,23,4.18,few clouds
